SV-A Report


Systems
System,System Type,Altitude Factor,Floor Area (sqft),Max People,Outside Air Ratio,Cooling Capacity (kBTU/hr),Sensible (SHR),Heating Capacity (kBTU/hr),Cooling EIR (BTU/BTU),Heating EIR (BTU/BTU),Heat Pump Supplemental Heat (kBTU/hr)
2-APT-01 Zn-Sys,2-APT-01 Zn,908.0,0.0,0.0,1.0,0.0,0.0,0.0,22.57,0.0,-30.41,1.0,0.0
3-APT-06 Zn-Sys,3-APT-06 Zn,750.0,0.0,0.0,1.0,0.0,0.0,0.0,18.63,0.0,-25.11,1.0,0.0
3-APT-01 Zn-Sys,3-APT-01 Zn,482.0,0.0,0.0,1.0,0.0,0.0,0.0,11.97,0.0,-16.13,1.0,0.0
4-APT-01 Zn-Sys,4-APT-01 Zn,757.0,0.0,0.0,1.0,0.0,0.0,0.0,18.8,0.0,-25.33,1.0,0.0
2-APT-02 Zn-Sys,2-APT-02 Zn,1031.0,0.0,0.0,1.0,0.0,0.0,0.0,25.61,0.0,-34.52,1.0,0.0
3-APT-07 Zn-Sys,3-APT-07 Zn,777.0,0.0,0.0,1.0,0.0,0.0,0.0,19.3,0.0,-26.01,1.0,0.0
4-APT-03 Zn-Sys,4-APT-03 Zn,518.0,0.0,0.0,1.0,0.0,0.0,0.0,12.87,0.0,-17.35,1.0,0.0
3-APT-04 Zn-Sys,3-APT-04 Zn,565.0,0.0,0.0,1.0,0.0,0.0,0.0,14.03,0.0,-18.91,1.0,0.0
4-APT-07 Zn-Sys,4-APT-07 Zn,690.0,0.0,0.0,1.0,0.0,0.0,0.0,17.15,0.0,-23.12,1.0,0.0
3-APT-03 Zn-Sys,3-APT-03 Zn,556.0,0.0,0.0,1.0,0.0,0.0,0.0,13.82,0.0,-18.63,1.0,0.0
2-APT-08 Zn-Sys,2-APT-08 Zn,807.0,0.0,0.0,1.0,0.0,0.0,0.0,20.03,0.0,-27.0,1.0,0.0
B-APT-04 Zn-Sys,B-APT-04 Zn,664.0,0.0,0.0,1.0,0.0,0.0,0.0,16.49,0.0,-22.22,1.0,0.0
2-APT-04 Zn-Sys,2-APT-04 Zn,1384.0,0.0,0.0,1.0,0.0,0.0,0.0,34.37,0.0,-46.33,1.0,0.0
Unconditionned,B-MECH Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,-0.96,1.0,
Unconditionned,B-LAUNDRY Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-7.39,1.0,
Unconditionned,B-STAIRS-N Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,-21.57,1.0,
Unconditionned,B-INTER-FL Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,-4.21,1.0,
Unconditionned,B-STAIRS-S Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.84,1.0,
Unconditionned,B-ELEV Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,-1.74,1.0,
Unconditionned,B-STORAGE Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,-0.84,1.0,
Unconditionned,1-STAIRS-C Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.0,-14.69,1.0,
Unconditionned,1-ELEVATOR Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,-3.41,1.0,
Unconditionned,1-CLOSET Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-1.31,1.0,
Unconditionned,1-INTERFLOOR Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,-6.48,1.0,
Unconditionned,1-STAIRS-S Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,-11.27,1.0,
Unconditionned,1-HALLWAY-KIT Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,-12.2,1.0,
Unconditionned,1-STAIRS-N Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.49,0.0,-41.2,1.0,
Unconditionned,2-STAIRS-C Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,-12.28,1.0,
Unconditionned,2-ELEV Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,-2.69,1.0,
Unconditionned,2-STORAGE Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,-0.46,1.0,
Unconditionned,2-STAIRS-N Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,0.0,-34.11,1.0,
Unconditionned,3-ELEV Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,-1.77,1.0,
Unconditionned,3-STORAGE Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,-0.78,1.0,
Unconditionned,3-STAIRS-C Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,-8.05,1.0,
Unconditionned,3-STAIRS-N Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77,0.0,-21.33,1.0,
Unconditionned,4-STAIRS-TO-ROOF Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,-1.58,1.0,
Unconditionned,4-STAIRS-C Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,-8.13,1.0,
Unconditionned,4-BOILER-STAIRS Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,-10.14,1.0,
Unconditionned,4-JANITOR-CLOSET Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,-2.71,1.0,
Unconditionned,4-STAIRS-N Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,-16.88,1.0,
Unconditionned,ROOF-STORAGE Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,-18.48,1.0,
Unconditionned,ROOF-BOILER-ROOM Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16,0.0,-32.46,1.0,
Unconditionned,ROOF-BOILER STAIRS Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,-11.76,1.0,
